Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,7,E+,2,Ground,7,E-,1,2254.14014594094,2.63462738246782E-9,729162.400637499,726908.260491558,0.353298716291772,9.42008617063712E-12,0,"qQ2,6(7)",v=0  7  2  5 - v=0  7  2  6
AsymmetricTop,Ground,14,O+,2,Ground,14,O-,2,2310.9326832369,2.40887245014252E-9,2450829.27802544,2448518.3453422,0.404796519782587,6.01536507892716E-12,0,"qQ3,12(14)",v=0 14  3 11 - v=0 14  3 12
AsymmetricTop,Ground,22,E+,3,Ground,22,E-,2,2498.57292973343,1.9051690676999E-9,5639758.15068152,5637259.57775178,0.456136789411013,5.52102879916294E-12,0,"qQ4,19(22)",v=0 22  4 18 - v=0 22  4 19
AsymmetricTop,Ground,31,O+,3,Ground,31,O-,3,3099.3052521497,1.4113734859585E-9,10762649.5292214,10759550.2239693,0.498375812703812,8.22376701319905E-12,0,"qQ5,27(31)",v=0 31  5 26 - v=0 31  5 27
AsymmetricTop,Ground,2,O+,1,Ground,2,O-,1,3192.60000000001,4.59098111179422E-9,106343.62,103151.02,0.277777777777778,6.31280474158989E-11,0,"qQ1,2(2)",v=0  2  1  1 - v=0  2  1  2
AsymmetricTop,Ground,15,O+,2,Ground,15,O-,2,3434.99524848629,4.71694527942986E-9,2741669.29588751,2738234.30063902,0.375814484996875,1.71574039749297E-11,0,"qQ3,13(15)",v=0 15  3 12 - v=0 15  3 13
AsymmetricTop,Ground,23,E+,3,Ground,23,E-,2,3510.13514670916,3.32533217457789E-9,6085898.05007797,6082387.91493126,0.433205491738052,1.3919670120579E-11,0,"qQ4,20(23)",v=0 23  4 19 - v=0 23  4 20
AsymmetricTop,Ground,8,E+,2,Ground,8,E-,1,3730.73530715401,6.16437840485553E-9,884515.763088252,880785.027781098,0.309333647051933,3.29930819783933E-11,0,"qQ2,7(8)",v=0  8  2  6 - v=0  8  2  7
AsymmetricTop,Ground,32,O+,3,Ground,32,O-,3,4186.38282291405,2.23972681903555E-9,11384002.9353799,11379816.552557,0.478731906818362,1.88693599904583E-11,0,"qQ5,28(32)",v=0 32  5 27 - v=0 32  5 28
AsymmetricTop,Ground,24,E+,3,Ground,24,E-,2,4849.43531258963,5.59827820154581E-9,6551829.98273918,6546980.54742659,0.411626543689677,3.3453544391336E-11,0,"qQ4,21(24)",v=0 24  4 20 - v=0 24  4 21
AsymmetricTop,Ground,16,O+,2,Ground,16,O-,2,4964.36943140393,8.72603243585808E-9,3052260.00468814,3047295.63525674,0.349767231164665,4.52812900381096E-11,0,"qQ3,14(16)",v=0 16  3 13 - v=0 16  3 14
AsymmetricTop,Ground,33,O+,3,Ground,33,O-,3,5590.73485381156,3.46260316964335E-9,12025230.7084078,12019639.973554,0.459770815145596,4.18730522317498E-11,0,"qQ5,29(33)",v=0 33  5 28 - v=0 33  5 29
AsymmetricTop,Ground,9,E+,2,Ground,9,E-,1,5805.97666608216,1.28639023772349E-8,1059625.79663354,1053819.81996746,0.274058191251715,9.85771772917718E-11,0,"qQ2,8(9)",v=0  9  2  7 - v=0  9  2  8
AsymmetricTop,Ground,42,E+,4,Ground,42,E-,3,5844.73303054273,1.34532444257603E-9,19162531.0606766,19156686.327646,0.511961970383547,4.19927335249582E-11,0,"qQ6,37(42)",v=0 42  6 36 - v=0 42  6 37
AsymmetricTop,Ground,3,O+,1,Ground,3,O-,1,6385.00787009412,1.27372500458504E-8,165715.118915037,159330.111044943,0.194467846698959,2.52519784387377E-10,0,"qQ1,3(3)",v=0  3  1  2 - v=0  3  1  3
AsymmetricTop,Ground,25,E+,3,Ground,25,E-,2,6595.16958286427,9.1057033329349E-9,7037629.09682135,7031033.92723849,0.391186280204431,7.68338638518461E-11,0,"qQ4,22(25)",v=0 25  4 21 - v=0 25  4 22
AsymmetricTop,Ground,17,O+,2,Ground,17,O-,2,6995.66058951989,1.53254553739838E-8,3382686.7619574,3375691.10136788,0.326086352996215,1.11381254364348E-10,0,"qQ3,15(17)",v=0 17  3 14 - v=0 17  3 15
AsymmetricTop,Ground,34,O+,3,Ground,34,O-,3,7384.62181259692,5.21826988862793E-9,12686404.1292308,12679019.5074182,0.441387436512249,8.99532764602031E-11,0,"qQ5,30(34)",v=0 34  5 29 - v=0 34  5 30
AsymmetricTop,Ground,43,E+,4,Ground,43,E-,3,7588.24483429268,1.91643420418482E-9,19999180.8672647,19991592.6224304,0.49455879282206,8.67329291317063E-11,0,"qQ6,38(43)",v=0 43  6 37 - v=0 43  6 38
AsymmetricTop,Ground,10,E+,2,Ground,10,E-,1,8597.63598187082,2.44412584038393E-8,1254583.46918838,1245985.83320651,0.244925497419589,2.58829157120361E-10,0,"qQ2,9(10)",v=0 10  2  8 - v=0 10  2  9
